GEOID,all,black,native,aapi,add,white,latino,City,Geography,System,Area,Metric,Measure,Source,Year,BiggerBetter,geolevel
48085031718,0.026997840172786176,0,0,0.09615384615384616,0.1625,0.010479041916167664,0.14130434782608695,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031719,0.02875816993464052,0,NA,0.03977272727272727,0,0.02240325865580448,0.09302325581395349,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031720,0.051777916406737366,0,0,0.041935483870967745,0.07052896725440806,0.04,0.14803625377643503,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031721,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031722,0.011098130841121495,0,NA,0,0,0.035916824196597356,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031723,0.07026143790849673,0,NA,0,0.16039279869067102,0,0.17671232876712328,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031724,0.0196078431372549,0,0,0,0,0,0.06534090909090909,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031811,0.006156552330694811,0,0,0,0.10144927536231885,0,0.06363636363636363,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031812,0.008840864440078585,NA,NA,0.04712041884816754,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031813,0,NA,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000100,0.016033254156769598,0,NA,0,0,0.0215311004784689,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000201,0,0,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000202,0,0,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000300,0.04590163934426229,0,NA,0,0,0.06004901960784314,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000401,0.1171303074670571,0.0471311475409836,0,0,0.16939890710382513,0.05330882352941176,0.25033288948069243,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000405,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000407,0.0743801652892562,0,0,0,0,0,0.162,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000408,0.021970233876683204,0,0,0,0.06811145510835913,0.012968299711815562,0.06489675516224189,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000409,0.01875689591761677,0.07920792079207921,NA,0.022099447513812154,0,0,0.02546296296296296,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000410,0.13426573426573427,0,NA,NA,0,0.293398533007335,0.07178464606181456,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000501,0.007072135785007072,0,NA,0,0,0.01584786053882726,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000502,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000503,0.005750798722044728,0,0,0,0,0.009698275862068966,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000605,0.00695322376738306,0,0,0,0,0.01132852729145211,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000606,0.024883359253499222,0,NA,0,0,0.03404255319148936,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000607,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000608,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000609,0,0,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000610,0.043601895734597156,0.08484848484848485,NA,0,0.09937888198757763,0,0.05,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000611,0.007654836464857342,0,NA,0,0.10476190476190476,0,0.0421455938697318,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000703,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000704,0.012925463162429988,0.08,NA,0.12738853503184713,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000705,0.015261627906976744,0,0,0,0,0.020134228187919462,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000706,0.007638888888888889,0,NA,0,0,0.009401709401709401,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000801,0.06597434331093463,0,NA,0,0,0,0.21386138613861386,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000802,0.03881278538812785,0,0,0.30952380952380953,0.09465020576131687,0.031714568880079286,0.07033639143730887,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000901,0.009416195856873822,0,NA,NA,0,0.012468827930174564,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113000902,0.08298755186721991,0.25668449197860965,0,0,0.13333333333333333,0.01048951048951049,0.17696629213483145,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001001,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001002,0.02809573361082206,0,0,0,0.1291866028708134,0,0.18120805369127516,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001101,0.016856987493202826,NA,NA,0,0.14655172413793102,0.010248901903367497,0.06439393939393939,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001102,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001202,0.01466275659824047,0,NA,0,0.07723577235772358,0.011956521739130435,0.03571428571428571,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001203,0.024017467248908297,NA,0,NA,0,0,0.08270676691729323,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001204,0.06990881458966565,0,0,NA,0.1320754716981132,0,0.0798611111111111,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001301,0.006085192697768763,0,0,0,0,0,0.026392961876832845,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001302,0.029133858267716535,0,NA,0,0,0,0.10422535211267606,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001400,0.007822685788787484,0.05172413793103448,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001502,0.11690363349131122,0,0,0,0.08670520231213873,0.14285714285714285,0.16152450090744103,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001503,0.014097744360902255,0,0,0,0,0.040106951871657755,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001504,0.06,0.18695652173913044,NA,0,0.07586206896551724,0,0.08527131782945736,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001601,0.04674945215485756,0,0,0,0.24806201550387597,0,0.27705627705627706,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001602,0.016493585827733658,0,NA,0,0,0.031286210892236384,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001703,0,0,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001705,0.0024096385542168677,0,0,0,0,0.0030656039239730227,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001801,0.03407755581668625,0,NA,0,0,0.04073033707865169,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001802,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001901,0.005917159763313609,0,NA,0,0,0.009044657998869417,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113001902,0.039553429027113236,0.02654867256637168,NA,0.04904632152588556,0,0.0474158368895211,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002001,0.058823529411764705,0,0,0,0.19745222929936307,0.08990536277602523,0.10689655172413794,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002002,0.18336673346693386,0,0,0,0.09961685823754789,0.05844155844155844,0.24751066856330015,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002100,0.02766798418972332,0.022556390977443608,0,0,0,0.0436397400185701,0.029605263157894735,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002200,0.009259259259259259,0,NA,0.0761904761904762,0,0,0.022222222222222223,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002400,0.10038610038610038,0,NA,0,0.09162303664921466,0.07211538461538461,0.1196236559139785,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002500,0.1109253065774805,0.027616279069767442,NA,0,0.019417475728155338,0.13846153846153847,0.16569767441860464,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113002703,0.07779419005416051,0.09060402684563758,NA,0,0,0,0.04283054003724395,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113003102,0.07267144319344933,0.15384615384615385,0,0,0,0.08258258258258258,0.0903954802259887,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113003103,0.033192834562697573,0,0,0,0,0.015943312666076175,0.14240506329113925,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113003700,0.03285593934288121,0.023002421307506054,NA,NA,0.05389221556886228,0.07432432432432433,0.04054054054054054,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004201,0.0489010989010989,0,NA,0,0.033734939759036145,0.020942408376963352,0.0792507204610951,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004202,0.013392857142857142,0,0,0,0,0,0.03116883116883117,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004300,0.03465523401214719,0.01957831325301205,0,0.2962962962962963,0,0.0057859209257473485,0.05888767720828789,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004400,0.010065127294256957,0,NA,0,0.03435114503816794,0,0.054838709677419356,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004500,0.136978884677856,0,0,0,0.3029366306027821,0,0.21679520137103683,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004600,0.06286379511059371,0,0,0,0.3125,0,0.11242603550295859,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004700,0.10550996483001172,0,0,0,0.13004484304932734,0.17419354838709677,0.10177705977382875,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113004800,0.1694915254237288,0,0,NA,0.06514657980456026,0,0.18641810918774968,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005000,0.0688,0,NA,NA,0.02707275803722504,0,0.08333333333333333,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005100,0.0889487870619946,0,0,NA,0.16666666666666666,0,0.11870503597122302,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005200,0.03980782429649966,0,0,NA,0.09191176470588236,0.010660980810234541,0.06408706166868199,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005300,0.07431490942870414,0,0,0,0.15817223198594024,0,0.10329244673983215,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005400,0.11643026004728133,0,NA,0,0.10076045627376426,0,0.2658569500674764,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005500,0.04529115744069015,0.028187919463087248,NA,NA,0.0028328611898017,0,0.07342657342657342,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005600,0.13297297297297297,0.09947643979057591,0,NA,0.15338645418326693,0,0.14627285513361463,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005700,0.03753753753753754,0,0,0,0.1125,0.7428571428571429,0.06930693069306931,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005901,0.06515885837372105,0.003395585738539898,0,0,0.22432432432432434,0,0.18167701863354038,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113005902,0.0977088948787062,0.0587248322147651,NA,NA,0.6637168141592921,0,0.32608695652173914,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006001,0.06717687074829932,0,NA,NA,0.09181141439205956,0,0.08807134894091416,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006002,0.05519960571710202,0.06888720666161999,0,NA,0,0.02702702702702703,0.03536977491961415,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006100,0.07411907654921021,0,NA,NA,0.36792452830188677,0,0.18711656441717792,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006200,0.11353315168029064,0.0986639260020555,0,1,0.06852248394004283,0,0.1748768472906404,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006301,0.08897379912663755,0,0.5185185185185185,NA,0.028953229398663696,0,0.1218236173393124,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006302,0.07702349869451697,0,0,0,0.2003780718336484,0,0.11423039690222653,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006401,0.05493273542600897,0,0,NA,0,0,0.06132665832290363,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006402,0.17052023121387283,NA,0,NA,0.08318264014466546,0,0.18322981366459629,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006501,0.12682602921646746,0,0,0,0.20939334637964774,0,0.152555910543131,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006502,0.13685239491691104,0,1,NA,0.13034623217922606,0.18518518518518517,0.1348314606741573,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006701,0.09703703703703703,0,NA,NA,0.0703125,0.2608695652173913,0.09112903225806451,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006702,0.14956736711990112,0,0,NA,0.021875,0,0.18876755070202808,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006800,0.10686274509803921,0,NA,0,0.1618075801749271,0,0.14751552795031056,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113006900,0.13971146545178437,0,0,NA,0.05612244897959184,0.14068441064638784,0.22580645161290322,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007101,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007102,0.017515274949083504,0,NA,0,0,0,0.07992565055762081,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007203,0.3136929460580913,0,NA,NA,0.29591836734693877,0,0.4452296819787986,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007204,0.3286219081272085,0,0,0,0.34296977660972405,0,0.38366336633663367,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007205,0.4007113218731476,0,NA,NA,0.4226327944572748,0,0.4727272727272727,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007206,0.35228331780055916,NA,NA,NA,0.36983842010771995,0.26875,0.37057522123893805,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007301,0,NA,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007302,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007601,0,NA,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007604,0,NA,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007605,0,NA,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007701,0,NA,NA,0,0,0,NA,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007702,0,NA,NA,0,0,0,NA,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007801,0,0,0,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007805,0.03829160530191458,0,NA,0,0,0,0.29545454545454547,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007809,0.00991407799074686,0,NA,0,0,0,0.04854368932038835,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007810,0.05613648871766648,0.05863192182410423,0,0.30973451327433627,0,0.014705882352941176,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007812,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007815,0.1943254817987152,0.0410958904109589,0,0.4739454094292804,0.16844349680170576,0.09777777777777778,0.14854111405835543,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48113007819,0.09659090909090909,0.050761421319796954,0.7777777777777778,0,0.2005420054200542,0,0.2169811320754717,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
